[session 1 finished] 20:24:02;   actions taken = 334.0000;       mean reward = 0.0150;   total reward = 5.0000;  epsilon = 1.0000;       mean loss = 0.1501
[session 17 finished] 20:25:10;  actions taken = 23.0000;        mean reward = 0.2174;   total reward = 5.0000;  epsilon = 0.9300;       mean loss = 1.0368
[session 18 finished] 20:25:19;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.9200;       mean loss = 0.0016
[session 19 finished] 20:25:19;  actions taken = 4.0000;         mean reward = 1.2500;   total reward = 5.0000;  epsilon = 0.9200;       mean loss = 6.0784
[session 20 finished] 20:25:26;  actions taken = 291.0000;       mean reward = 0.0172;   total reward = 5.0000;  epsilon = 0.9100;       mean loss = 0.0860
[session 21 finished] 20:25:36;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.9100;       mean loss = 0.0009
[session 22 finished] 20:25:38;  actions taken = 92.0000;        mean reward = 0.0543;   total reward = 5.0000;  epsilon = 0.9000;       mean loss = 0.2678
[session 23 finished] 20:25:40;  actions taken = 131.0000;       mean reward = 0.0382;   total reward = 5.0000;  epsilon = 0.9000;       mean loss = 0.1880
[session 24 finished] 20:25:44;  actions taken = 163.0000;       mean reward = 0.0307;   total reward = 5.0000;  epsilon = 0.8900;       mean loss = 0.1513
[session 25 finished] 20:25:50;  actions taken = 251.0000;       mean reward = 0.0199;   total reward = 5.0000;  epsilon = 0.8900;       mean loss = 0.1007
[session 26 finished] 20:25:58;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.8800;       mean loss = 0.0011
[session 27 finished] 20:26:05;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.8800;       mean loss = 0.0006
[session 28 finished] 20:26:14;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.8700;       mean loss = 0.0005
[session 29 finished] 20:26:21;  actions taken = 274.0000;       mean reward = 0.0182;   total reward = 5.0000;  epsilon = 0.8700;       mean loss = 0.0923
[session 30 finished] 20:26:21;  actions taken = 3.0000;         mean reward = 1.6667;   total reward = 5.0000;  epsilon = 0.8600;       mean loss = 8.0927
[session 31 finished] 20:26:24;  actions taken = 134.0000;       mean reward = 0.0373;   total reward = 5.0000;  epsilon = 0.8600;       mean loss = 0.1807
[session 32 finished] 20:26:33;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.8500;       mean loss = 0.0025
[session 33 finished] 20:26:39;  actions taken = 279.0000;       mean reward = 0.0179;   total reward = 5.0000;  epsilon = 0.8500;       mean loss = 0.0893
[session 34 finished] 20:26:48;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.8400;       mean loss = 0.0013
[session 35 finished] 20:26:48;  actions taken = 5.0000;         mean reward = 1.0000;   total reward = 5.0000;  epsilon = 0.8400;       mean loss = 4.8666
[session 36 finished] 20:26:56;  actions taken = 304.0000;       mean reward = 0.0164;   total reward = 5.0000;  epsilon = 0.8300;       mean loss = 0.0822
[session 37 finished] 20:26:57;  actions taken = 8.0000;         mean reward = 0.6250;   total reward = 5.0000;  epsilon = 0.8300;       mean loss = 2.9579
[session 38 finished] 20:27:03;  actions taken = 282.0000;       mean reward = 0.0177;   total reward = 5.0000;  epsilon = 0.8200;       mean loss = 0.0886
[session 39 finished] 20:27:13;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.8200;       mean loss = 0.0011
[session 40 finished] 20:27:22;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.8100;       mean loss = 0.0005
[session 41 finished] 20:27:26;  actions taken = 171.0000;       mean reward = 0.0292;   total reward = 5.0000;  epsilon = 0.8100;       mean loss = 0.1463
[session 42 finished] 20:27:30;  actions taken = 184.0000;       mean reward = 0.0272;   total reward = 5.0000;  epsilon = 0.8000;       mean loss = 0.1355
[session 43 finished] 20:27:33;  actions taken = 152.0000;       mean reward = 0.0329;   total reward = 5.0000;  epsilon = 0.8000;       mean loss = 0.1618
[session 44 finished] 20:27:42;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.7900;       mean loss = 0.0013
[session 45 finished] 20:27:43;  actions taken = 42.0000;        mean reward = 0.1190;   total reward = 5.0000;  epsilon = 0.7900;       mean loss = 0.5892
[session 46 finished] 20:27:53;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.7800;       mean loss = 0.0008
[session 47 finished] 20:27:53;  actions taken = 10.0000;        mean reward = 0.5000;   total reward = 5.0000;  epsilon = 0.7800;       mean loss = 2.4384
[session 48 finished] 20:28:02;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.7700;       mean loss = 0.0007
[session 49 finished] 20:28:03;  actions taken = 30.0000;        mean reward = 0.1667;   total reward = 5.0000;  epsilon = 0.7700;       mean loss = 0.8176
[session 50 finished] 20:28:06;  actions taken = 153.0000;       mean reward = 0.0327;   total reward = 5.0000;  epsilon = 0.7600;       mean loss = 0.1642
[session 51 finished] 20:28:09;  actions taken = 99.0000;        mean reward = 0.0505;   total reward = 5.0000;  epsilon = 0.7600;       mean loss = 0.2590
[session 52 finished] 20:28:18;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.7500;       mean loss = 0.0021
[session 53 finished] 20:28:20;  actions taken = 90.0000;        mean reward = 0.0556;   total reward = 5.0000;  epsilon = 0.7500;       mean loss = 0.2775
[session 54 finished] 20:28:25;  actions taken = 246.0000;       mean reward = 0.0203;   total reward = 5.0000;  epsilon = 0.7400;       mean loss = 0.1020
[session 55 finished] 20:28:34;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.7400;       mean loss = 0.0007
[session 56 finished] 20:28:35;  actions taken = 38.0000;        mean reward = 0.1316;   total reward = 5.0000;  epsilon = 0.7300;       mean loss = 0.6580
[session 57 finished] 20:28:37;  actions taken = 91.0000;        mean reward = 0.0549;   total reward = 5.0000;  epsilon = 0.7300;       mean loss = 0.2686
[session 58 finished] 20:28:46;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.7200;       mean loss = 0.0022
[session 59 finished] 20:28:47;  actions taken = 20.0000;        mean reward = 0.2500;   total reward = 5.0000;  epsilon = 0.7200;       mean loss = 1.2352
[session 60 finished] 20:28:51;  actions taken = 204.0000;       mean reward = 0.0245;   total reward = 5.0000;  epsilon = 0.7100;       mean loss = 0.1230
[session 61 finished] 20:28:51;  actions taken = 14.0000;        mean reward = 0.3571;   total reward = 5.0000;  epsilon = 0.7100;       mean loss = 1.7079
[session 62 finished] 20:28:52;  actions taken = 13.0000;        mean reward = 0.3846;   total reward = 5.0000;  epsilon = 0.7000;       mean loss = 1.8175
[session 63 finished] 20:28:59;  actions taken = 282.0000;       mean reward = 0.0177;   total reward = 5.0000;  epsilon = 0.7000;       mean loss = 0.0936
[session 64 finished] 20:29:00;  actions taken = 43.0000;        mean reward = 0.1163;   total reward = 5.0000;  epsilon = 0.6900;       mean loss = 0.5658
[session 65 finished] 20:29:00;  actions taken = 7.0000;         mean reward = 0.7143;   total reward = 5.0000;  epsilon = 0.6900;       mean loss = 3.4587
[session 66 finished] 20:29:02;  actions taken = 85.0000;        mean reward = 0.0588;   total reward = 5.0000;  epsilon = 0.6800;       mean loss = 0.2906
[session 67 finished] 20:29:02;  actions taken = 3.0000;         mean reward = 1.6667;   total reward = 5.0000;  epsilon = 0.6800;       mean loss = 7.7729
[session 68 finished] 20:29:11;  actions taken = 354.0000;       mean reward = 0.0141;   total reward = 5.0000;  epsilon = 0.6700;       mean loss = 0.0728
[session 69 finished] 20:29:20;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.6700;       mean loss = 0.0018
[session 70 finished] 20:29:29;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.6600;       mean loss = 0.0009
[session 71 finished] 20:29:32;  actions taken = 134.0000;       mean reward = 0.0373;   total reward = 5.0000;  epsilon = 0.6600;       mean loss = 0.1869
[session 72 finished] 20:29:34;  actions taken = 119.0000;       mean reward = 0.0420;   total reward = 5.0000;  epsilon = 0.6500;       mean loss = 0.2094
[session 73 finished] 20:29:39;  actions taken = 207.0000;       mean reward = 0.0242;   total reward = 5.0000;  epsilon = 0.6500;       mean loss = 0.1217
[session 74 finished] 20:29:41;  actions taken = 88.0000;        mean reward = 0.0568;   total reward = 5.0000;  epsilon = 0.6400;       mean loss = 0.2794
[session 75 finished] 20:29:42;  actions taken = 24.0000;        mean reward = 0.2083;   total reward = 5.0000;  epsilon = 0.6400;       mean loss = 1.0108
[session 76 finished] 20:29:44;  actions taken = 77.0000;        mean reward = 0.0649;   total reward = 5.0000;  epsilon = 0.6300;       mean loss = 0.3190
[session 77 finished] 20:29:44;  actions taken = 1.0000;         mean reward = 5.0000;   total reward = 5.0000;  epsilon = 0.6300;       mean loss = 25.1374
[session 78 finished] 20:29:44;  actions taken = 6.0000;         mean reward = 0.8333;   total reward = 5.0000;  epsilon = 0.6200;       mean loss = 4.0424
[session 79 finished] 20:29:44;  actions taken = 3.0000;         mean reward = 1.6667;   total reward = 5.0000;  epsilon = 0.6200;       mean loss = 7.9882
[session 80 finished] 20:29:45;  actions taken = 39.0000;        mean reward = 0.1282;   total reward = 5.0000;  epsilon = 0.6100;       mean loss = 0.6238
[session 81 finished] 20:29:47;  actions taken = 105.0000;       mean reward = 0.0476;   total reward = 5.0000;  epsilon = 0.6100;       mean loss = 0.2351
[session 82 finished] 20:29:47;  actions taken = 15.0000;        mean reward = 0.3333;   total reward = 5.0000;  epsilon = 0.6000;       mean loss = 1.6347
[session 83 finished] 20:29:49;  actions taken = 90.0000;        mean reward = 0.0556;   total reward = 5.0000;  epsilon = 0.6000;       mean loss = 0.2731
[session 84 finished] 20:29:59;  actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.5900;       mean loss = 0.0022
[session 85 finished] 20:30:00;  actions taken = 78.0000;        mean reward = 0.0641;   total reward = 5.0000;  epsilon = 0.5900;       mean loss = 0.3204
[session 86 finished] 20:30:09;  actions taken = 335.0000;       mean reward = 0.0149;   total reward = 5.0000;  epsilon = 0.5800;       mean loss = 0.0761
[session 87 finished] 20:30:14;  actions taken = 236.0000;       mean reward = 0.0212;   total reward = 5.0000;  epsilon = 0.5800;       mean loss = 0.1068
[session 88 finished] 20:30:14;  actions taken = 14.0000;        mean reward = 0.3571;   total reward = 5.0000;  epsilon = 0.5700;       mean loss = 1.7480
[session 89 finished] 20:30:15;  actions taken = 1.0000;         mean reward = 5.0000;   total reward = 5.0000;  epsilon = 0.5700;       mean loss = 23.9673
[session 90 finished] 20:30:15;  actions taken = 4.0000;         mean reward = 1.2500;   total reward = 5.0000;  epsilon = 0.5600;       mean loss = 6.0381
[session 91 finished] 20:30:18;  actions taken = 132.0000;       mean reward = 0.0379;   total reward = 5.0000;  epsilon = 0.5600;       mean loss = 0.1942
[session 92 finished] 20:30:18;  actions taken = 6.0000;         mean reward = 0.8333;   total reward = 5.0000;  epsilon = 0.5500;       mean loss = 4.1269
[session 93 finished] 20:30:24;  actions taken = 268.0000;       mean reward = 0.0187;   total reward = 5.0000;  epsilon = 0.5500;       mean loss = 0.0972
[session 94 finished] 20:30:28;  actions taken = 152.0000;       mean reward = 0.0329;   total reward = 5.0000;  epsilon = 0.5400;       mean loss = 0.1652
[session 95 finished] 20:30:32;  actions taken = 180.0000;       mean reward = 0.0278;   total reward = 5.0000;  epsilon = 0.5400;       mean loss = 0.1386
[session 96 finished] 20:30:32;  actions taken = 1.0000;         mean reward = 5.0000;   total reward = 5.0000;  epsilon = 0.5300;       mean loss = 24.2191
[session 97 finished] 20:30:41;  actions taken = 325.0000;       mean reward = 0.0154;   total reward = 5.0000;  epsilon = 0.5300;       mean loss = 0.0786
[session 98 finished] 20:30:41;  actions taken = 15.0000;        mean reward = 0.3333;   total reward = 5.0000;  epsilon = 0.5200;       mean loss = 1.5629
[session 99 finished] 20:30:43;  actions taken = 69.0000;        mean reward = 0.0725;   total reward = 5.0000;  epsilon = 0.5200;       mean loss = 0.3567
[session 100 finished] 20:30:44;         actions taken = 25.0000;        mean reward = 0.2000;   total reward = 5.0000;  epsilon = 0.5100;       mean loss = 0.9655
[session 101 finished] 20:30:45;         actions taken = 78.0000;        mean reward = 0.0641;   total reward = 5.0000;  epsilon = 0.5100;       mean loss = 0.3206
Model saved in path: ./exported/rqn_101_epoch
[session 102 finished] 20:30:45;         actions taken = 5.0000;         mean reward = 1.0000;   total reward = 5.0000;  epsilon = 0.5000;       mean loss = 4.9098
[session 103 finished] 20:30:46;         actions taken = 7.0000;         mean reward = 0.7143;   total reward = 5.0000;  epsilon = 0.5000;       mean loss = 3.5792
[session 104 finished] 20:30:55;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.4900;       mean loss = 0.0032
[session 105 finished] 20:30:56;         actions taken = 28.0000;        mean reward = 0.1786;   total reward = 5.0000;  epsilon = 0.4900;       mean loss = 0.8879
[session 106 finished] 20:31:01;         actions taken = 208.0000;       mean reward = 0.0240;   total reward = 5.0000;  epsilon = 0.4800;       mean loss = 0.1220
[session 107 finished] 20:31:01;         actions taken = 28.0000;        mean reward = 0.1786;   total reward = 5.0000;  epsilon = 0.4800;       mean loss = 0.8731
[session 108 finished] 20:31:11;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.4700;       mean loss = 0.0022
[session 109 finished] 20:31:11;         actions taken = 25.0000;        mean reward = 0.2000;   total reward = 5.0000;  epsilon = 0.4700;       mean loss = 1.0070
[session 110 finished] 20:31:13;         actions taken = 48.0000;        mean reward = 0.1042;   total reward = 5.0000;  epsilon = 0.4600;       mean loss = 0.5201
[session 111 finished] 20:31:13;         actions taken = 1.0000;         mean reward = 5.0000;   total reward = 5.0000;  epsilon = 0.4600;       mean loss = 24.2313
[session 112 finished] 20:31:15;         actions taken = 93.0000;        mean reward = 0.0538;   total reward = 5.0000;  epsilon = 0.4500;       mean loss = 0.2663
[session 113 finished] 20:31:16;         actions taken = 53.0000;        mean reward = 0.0943;   total reward = 5.0000;  epsilon = 0.4500;       mean loss = 0.4615
[session 114 finished] 20:31:16;         actions taken = 20.0000;        mean reward = 0.2500;   total reward = 5.0000;  epsilon = 0.4400;       mean loss = 1.2661
[session 115 finished] 20:31:16;         actions taken = 7.0000;         mean reward = 0.7143;   total reward = 5.0000;  epsilon = 0.4400;       mean loss = 3.4728
[session 116 finished] 20:31:17;         actions taken = 4.0000;         mean reward = 1.2500;   total reward = 5.0000;  epsilon = 0.4300;       mean loss = 6.1580
[session 117 finished] 20:31:19;         actions taken = 97.0000;        mean reward = 0.0515;   total reward = 5.0000;  epsilon = 0.4300;       mean loss = 0.2630
[session 118 finished] 20:31:22;         actions taken = 126.0000;       mean reward = 0.0397;   total reward = 5.0000;  epsilon = 0.4200;       mean loss = 0.1983
[session 119 finished] 20:31:22;         actions taken = 22.0000;        mean reward = 0.2273;   total reward = 5.0000;  epsilon = 0.4200;       mean loss = 1.0904
[session 120 finished] 20:31:22;         actions taken = 4.0000;         mean reward = 1.2500;   total reward = 5.0000;  epsilon = 0.4100;       mean loss = 5.7584
[session 121 finished] 20:31:22;         actions taken = 1.0000;         mean reward = 5.0000;   total reward = 5.0000;  epsilon = 0.4100;       mean loss = 22.9539
[session 122 finished] 20:31:22;         actions taken = 1.0000;         mean reward = 5.0000;   total reward = 5.0000;  epsilon = 0.4000;       mean loss = 23.3682
[session 123 finished] 20:31:22;         actions taken = 2.0000;         mean reward = 2.5000;   total reward = 5.0000;  epsilon = 0.4000;       mean loss = 11.7527
[session 124 finished] 20:31:23;         actions taken = 11.0000;        mean reward = 0.4545;   total reward = 5.0000;  epsilon = 0.3900;       mean loss = 2.1544
[session 125 finished] 20:31:23;         actions taken = 10.0000;        mean reward = 0.5000;   total reward = 5.0000;  epsilon = 0.3900;       mean loss = 2.2730
[session 126 finished] 20:31:25;         actions taken = 77.0000;        mean reward = 0.0649;   total reward = 5.0000;  epsilon = 0.3800;       mean loss = 0.3237
[session 127 finished] 20:31:26;         actions taken = 86.0000;        mean reward = 0.0581;   total reward = 5.0000;  epsilon = 0.3800;       mean loss = 0.2895
[session 128 finished] 20:31:28;         actions taken = 90.0000;        mean reward = 0.0556;   total reward = 5.0000;  epsilon = 0.3700;       mean loss = 0.2755
[session 129 finished] 20:31:29;         actions taken = 4.0000;         mean reward = 1.2500;   total reward = 5.0000;  epsilon = 0.3700;       mean loss = 6.0815
[session 130 finished] 20:31:29;         actions taken = 12.0000;        mean reward = 0.4167;   total reward = 5.0000;  epsilon = 0.3600;       mean loss = 1.9842
[session 131 finished] 20:31:29;         actions taken = 7.0000;         mean reward = 0.7143;   total reward = 5.0000;  epsilon = 0.3600;       mean loss = 3.3539
[session 132 finished] 20:31:29;         actions taken = 7.0000;         mean reward = 0.7143;   total reward = 5.0000;  epsilon = 0.3500;       mean loss = 3.4702
[session 133 finished] 20:31:36;         actions taken = 275.0000;       mean reward = 0.0182;   total reward = 5.0000;  epsilon = 0.3500;       mean loss = 0.0965
[session 134 finished] 20:31:36;         actions taken = 13.0000;        mean reward = 0.3846;   total reward = 5.0000;  epsilon = 0.3400;       mean loss = 1.8641
[session 135 finished] 20:31:40;         actions taken = 156.0000;       mean reward = 0.0321;   total reward = 5.0000;  epsilon = 0.3400;       mean loss = 0.1665
[session 136 finished] 20:31:47;         actions taken = 320.0000;       mean reward = 0.0156;   total reward = 5.0000;  epsilon = 0.3300;       mean loss = 0.0811
[session 137 finished] 20:31:47;         actions taken = 5.0000;         mean reward = 1.0000;   total reward = 5.0000;  epsilon = 0.3300;       mean loss = 4.8757
[session 138 finished] 20:31:48;         actions taken = 30.0000;        mean reward = 0.1667;   total reward = 5.0000;  epsilon = 0.3200;       mean loss = 0.8502
[session 139 finished] 20:31:48;         actions taken = 5.0000;         mean reward = 1.0000;   total reward = 5.0000;  epsilon = 0.3200;       mean loss = 4.9711
[session 140 finished] 20:31:49;         actions taken = 42.0000;        mean reward = 0.1190;   total reward = 5.0000;  epsilon = 0.3100;       mean loss = 0.5815
[session 141 finished] 20:31:50;         actions taken = 52.0000;        mean reward = 0.0962;   total reward = 5.0000;  epsilon = 0.3100;       mean loss = 0.4654
[session 142 finished] 20:31:52;         actions taken = 81.0000;        mean reward = 0.0617;   total reward = 5.0000;  epsilon = 0.3000;       mean loss = 0.3113
[session 143 finished] 20:31:52;         actions taken = 7.0000;         mean reward = 0.7143;   total reward = 5.0000;  epsilon = 0.3000;       mean loss = 3.5197
[session 144 finished] 20:31:52;         actions taken = 12.0000;        mean reward = 0.4167;   total reward = 5.0000;  epsilon = 0.2900;       mean loss = 2.0087
[session 145 finished] 20:31:57;         actions taken = 189.0000;       mean reward = 0.0265;   total reward = 5.0000;  epsilon = 0.2900;       mean loss = 0.1394
[session 146 finished] 20:31:57;         actions taken = 1.0000;         mean reward = 5.0000;   total reward = 5.0000;  epsilon = 0.2800;       mean loss = 24.4477
[session 147 finished] 20:31:57;         actions taken = 11.0000;        mean reward = 0.4545;   total reward = 5.0000;  epsilon = 0.2800;       mean loss = 2.1711
[session 148 finished] 20:32:01;         actions taken = 161.0000;       mean reward = 0.0311;   total reward = 5.0000;  epsilon = 0.2700;       mean loss = 0.1591
[session 149 finished] 20:32:01;         actions taken = 30.0000;        mean reward = 0.1667;   total reward = 5.0000;  epsilon = 0.2700;       mean loss = 0.8475
[session 150 finished] 20:32:02;         actions taken = 5.0000;         mean reward = 1.0000;   total reward = 5.0000;  epsilon = 0.2600;       mean loss = 4.6643
[session 151 finished] 20:32:02;         actions taken = 3.0000;         mean reward = 1.6667;   total reward = 5.0000;  epsilon = 0.2600;       mean loss = 8.3496
[session 152 finished] 20:32:05;         actions taken = 147.0000;       mean reward = 0.0340;   total reward = 5.0000;  epsilon = 0.2500;       mean loss = 0.1730
[session 153 finished] 20:32:07;         actions taken = 85.0000;        mean reward = 0.0588;   total reward = 5.0000;  epsilon = 0.2500;       mean loss = 0.2919
[session 154 finished] 20:32:08;         actions taken = 26.0000;        mean reward = 0.1923;   total reward = 5.0000;  epsilon = 0.2400;       mean loss = 0.9275
[session 155 finished] 20:32:08;         actions taken = 7.0000;         mean reward = 0.7143;   total reward = 5.0000;  epsilon = 0.2400;       mean loss = 3.3960
[session 156 finished] 20:32:08;         actions taken = 10.0000;        mean reward = 0.5000;   total reward = 5.0000;  epsilon = 0.2300;       mean loss = 2.4261
[session 157 finished] 20:32:08;         actions taken = 4.0000;         mean reward = 1.2500;   total reward = 5.0000;  epsilon = 0.2300;       mean loss = 6.4268
[session 158 finished] 20:32:11;         actions taken = 122.0000;       mean reward = 0.0410;   total reward = 5.0000;  epsilon = 0.2200;       mean loss = 0.2087
[session 159 finished] 20:32:15;         actions taken = 160.0000;       mean reward = 0.0312;   total reward = 5.0000;  epsilon = 0.2200;       mean loss = 0.1586
[session 160 finished] 20:32:15;         actions taken = 23.0000;        mean reward = 0.2174;   total reward = 5.0000;  epsilon = 0.2100;       mean loss = 1.0551
[session 161 finished] 20:32:15;         actions taken = 3.0000;         mean reward = 1.6667;   total reward = 5.0000;  epsilon = 0.2100;       mean loss = 8.0415
[session 162 finished] 20:32:15;         actions taken = 4.0000;         mean reward = 1.2500;   total reward = 5.0000;  epsilon = 0.2000;       mean loss = 5.9890
[session 163 finished] 20:32:22;         actions taken = 288.0000;       mean reward = 0.0174;   total reward = 5.0000;  epsilon = 0.2000;       mean loss = 0.0939
[session 164 finished] 20:32:22;         actions taken = 12.0000;        mean reward = 0.4167;   total reward = 5.0000;  epsilon = 0.1900;       mean loss = 1.9847
[session 165 finished] 20:32:22;         actions taken = 9.0000;         mean reward = 0.5556;   total reward = 5.0000;  epsilon = 0.1900;       mean loss = 2.6747
[session 166 finished] 20:32:25;         actions taken = 103.0000;       mean reward = 0.0485;   total reward = 5.0000;  epsilon = 0.1800;       mean loss = 0.2451
[session 167 finished] 20:32:25;         actions taken = 9.0000;         mean reward = 0.5556;   total reward = 5.0000;  epsilon = 0.1800;       mean loss = 2.8119
[session 168 finished] 20:32:25;         actions taken = 5.0000;         mean reward = 1.0000;   total reward = 5.0000;  epsilon = 0.1700;       mean loss = 4.7758
[session 169 finished] 20:32:25;         actions taken = 13.0000;        mean reward = 0.3846;   total reward = 5.0000;  epsilon = 0.1700;       mean loss = 1.8746
[session 170 finished] 20:32:27;         actions taken = 61.0000;        mean reward = 0.0820;   total reward = 5.0000;  epsilon = 0.1600;       mean loss = 0.3909
[session 171 finished] 20:32:28;         actions taken = 54.0000;        mean reward = 0.0926;   total reward = 5.0000;  epsilon = 0.1600;       mean loss = 0.4543
[session 172 finished] 20:32:28;         actions taken = 2.0000;         mean reward = 2.5000;   total reward = 5.0000;  epsilon = 0.1500;       mean loss = 12.9275
[session 173 finished] 20:32:37;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.1500;       mean loss = 0.0049
[session 174 finished] 20:32:40;         actions taken = 96.0000;        mean reward = 0.0521;   total reward = 5.0000;  epsilon = 0.1400;       mean loss = 0.2609
[session 175 finished] 20:32:40;         actions taken = 15.0000;        mean reward = 0.3333;   total reward = 5.0000;  epsilon = 0.1400;       mean loss = 1.6233
[session 176 finished] 20:32:40;         actions taken = 13.0000;        mean reward = 0.3846;   total reward = 5.0000;  epsilon = 0.1300;       mean loss = 1.8794
[session 177 finished] 20:32:40;         actions taken = 10.0000;        mean reward = 0.5000;   total reward = 5.0000;  epsilon = 0.1300;       mean loss = 2.4286
[session 178 finished] 20:32:45;         actions taken = 209.0000;       mean reward = 0.0239;   total reward = 5.0000;  epsilon = 0.1200;       mean loss = 0.1244
[session 179 finished] 20:32:46;         actions taken = 14.0000;        mean reward = 0.3571;   total reward = 5.0000;  epsilon = 0.1200;       mean loss = 1.7458
[session 180 finished] 20:32:56;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.1100;       mean loss = 0.0036
[session 181 finished] 20:32:56;         actions taken = 30.0000;        mean reward = 0.1667;   total reward = 5.0000;  epsilon = 0.1100;       mean loss = 0.8278
[session 182 finished] 20:33:06;         actions taken = 360.0000;       mean reward = 0.0000;   total reward = 0.0000;  epsilon = 0.1000;       mean loss = 0.0026
[session 183 finished] 20:33:06;         actions taken = 13.0000;        mean reward = 0.3846;   total reward = 5.0000;  epsilon = 0.1000;       mean loss = 1.9083
[session 184 finished] 20:33:06;         actions taken = 12.0000;        mean reward = 0.4167;   total reward = 5.0000;  epsilon = 0.0900;       mean loss = 2.0263
[session 185 finished] 20:33:07;         actions taken = 16.0000;        mean reward = 0.3125;   total reward = 5.0000;  epsilon = 0.0900;       mean loss = 1.5457
[session 186 finished] 20:33:07;         actions taken = 35.0000;        mean reward = 0.1429;   total reward = 5.0000;  epsilon = 0.0800;       mean loss = 0.6941
[session 187 finished] 20:33:12;         actions taken = 176.0000;       mean reward = 0.0284;   total reward = 5.0000;  epsilon = 0.0800;       mean loss = 0.1453
